EmployeeID,EmployeeName,Email,PhoneNumber,Address,Department,Performance,Salary,HiringDate,JobTitle,WorkExperience,CurrentTask,IdleTimeHours
8628,Gabriela Holland,wallacemonica@example.org,(740)857-5115x809,"955 Laura Drive, Catherineburgh, SD 90293",IT,5.97,43451.15,2002-09-25,Software engineer,5,Research,2.23
7198,Michael Simon,sarah73@example.net,001-354-214-8359x0412,"05372 Maria Mount Apt. 536, Port Jason, PW 58565",HR,3.03,86578.41,2001-05-28,Recycling officer,5,Research,0.06
8068,Courtney Bradshaw,laurenhiggins@example.net,294.752.2357,"3789 Michele Center, Garytown, SD 55576",Marketing,1.81,96697.26,2000-10-06,Museum/gallery curator,10,Research,1.84
6858,Susan Berry,hamiltonjason@example.com,778-627-8875x4658,"59656 Dickerson Plaza, South Jasonburgh, RI 55657",HR,8.77,103734.52,2018-01-21,"Surveyor, quantity",16,Research,4.69
2895,Taylor James,moniquewood@example.org,923-767-4638,"23986 Webb Coves Suite 163, Mathisbury, GU 73923",IT,8.24,66374.07,2017-03-30,Fine artist,19,Working on Project A,0.31
4284,David Diaz,joseph96@example.net,914.692.0603x19247,"9844 Susan Mountain, Davidland, NE 59932",HR,3.62,77286.75,2015-10-21,Diagnostic radiographer,19,Research,3.68
7441,Martha Collins,gregoryjay@example.com,+1-251-516-2262x383,"138 Wendy Drive Suite 270, Angelstad, NH 42336",Sales,5.02,93247.27,2009-11-09,Trade union research officer,9,Working on Project A,4.22
3796,Jeff Williams,youngtyrone@example.org,222-764-9985x157,"37521 Shannon Heights Apt. 271, Williamhaven, TX 75584",HR,9.17,44694.35,2002-08-04,Electronics engineer,10,Research,3.06
7515,Carol Taylor,oritter@example.org,+1-540-406-3281x0627,"674 Patrick Locks, South Selena, NV 63022",HR,4.63,66962.28,2012-10-20,Graphic designer,8,Coding,4.53
2324,Leonard Spence,brittany19@example.com,001-591-856-6282,"552 Jones Corner, West Taylor, MH 92564",IT,7.71,86388.4,2008-11-26,English as a second language teacher,10,Meeting with Client,1.3
6497,Cynthia Martin,sheila92@example.net,965-511-9235x5713,"519 Kaylee Street Apt. 499, Christineport, MD 45913",Marketing,3.44,72711.64,2010-05-25,Technical author,9,Working on Project A,4.29
4867,Holly Lee,kathrynchavez@example.net,303-708-2470x26408,"052 Morrow Junction, Staffordtown, VA 06007",HR,2.86,100523.91,2017-05-26,"Copywriter, advertising",2,Coding,4.19
5925,Barbara Glenn,terrancegonzalez@example.com,216-452-0665x126,"0106 Davidson Village, East Jesus, DE 26621",IT,9.39,94673.08,2007-10-03,Quarry manager,12,Working on Project A,1.81
2693,Brandon Collins,terrellbryan@example.org,776.593.3451x500,"6898 Kelly Neck Apt. 299, Shawberg, NH 51251",IT,8.8,79700.3,2001-09-30,"Psychologist, occupational",5,Research,4.71
6505,Jeffrey Dennis,ellisjoshua@example.com,(465)564-4047x6669,"9720 Johnson Gateway Apt. 882, Donnaberg, SD 47350",Marketing,3.34,85331.4,2009-02-08,Theme park manager,20,Research,4.4
3161,Jimmy Lawson,sanchezpaul@example.net,001-987-570-4846,"061 Maureen Ridge Apt. 254, Brendabury, NE 98928",IT,4.61,104485.23,2021-04-01,"Designer, fashion/clothing",19,Coding,2.58
4705,Bridget Saunders,kellygreene@example.net,001-912-374-9737,"201 Calderon Road Suite 285, Daniellefurt, AL 14832",Sales,5.1,102723.73,2003-01-28,Race relations officer,8,Working on Project A,2.16
9928,Ashley Aguilar,iburgess@example.org,725.410.5490x26499,"562 Jason Street, Ryanbury, NH 77084",Sales,2.94,60299.45,2006-08-17,"Horticulturist, amenity",1,Meeting with Client,4.36
7195,Megan Johnson,johnward@example.com,905.784.7326x062,"9083 Stephanie View Apt. 638, New Amybury, IA 46723",Sales,4.86,119626.53,2011-04-05,Historic buildings inspector/conservation officer,10,Coding,2.3
7013,Jerry Daniels,vincent36@example.net,8443174042,"634 Rojas Shore, North Deborahfurt, MT 59640",IT,7.74,42209.62,2013-09-06,Purchasing manager,5,Research,4.9
1133,William Smith,andersonamanda@example.net,(403)635-4773x87969,"28734 Caleb Burg, Port Karenshire, ND 67583",Marketing,7.18,53133.76,2015-05-19,IT consultant,13,Research,2.41
1442,Darren Yu,gtaylor@example.com,459.656.6569x621,"48929 Morgan Lake Suite 696, Colemanside, VT 39001",Sales,5.61,112899.91,2013-02-10,"Scientist, research (life sciences)",20,Research,3.07
2222,Donna Walker,wyattscott@example.com,2374093517,"614 Kyle Spurs, Penashire, AR 15671",IT,4.37,94703.71,2010-06-10,Wellsite geologist,18,Meeting with Client,2.19
